Museum,Specimen _Number,Species,Subspecies,Clade,Sex,Elevation,Body Mass (g),Body _Length _(mm),Head _Length _(mm),Bill Length (mm),Bill Width1 (mm),Bill Width2 (mm),Bill Width3 (mm),Bill Depth1 (mm),Bill Depth2 (mm),Bill Depth3 (mm),Proximal Bill Cross-Sectional_ Area (mm2),Mid-Length Bill Cross-Sectional Area (mm2),Distal Bill Cross-Sectional Area (mm2),Wing Length (mm),Primary 1 (mm),Primary 2 (mm),Primary 3 (mm),Primary 4 (mm),Primary 5 (mm),Primary 6 (mm),Primary 7 (mm),Primary 8 (mm),Primary 9 (mm),Width of Primary 1,Width of Primary 9,Tibiotarsus Width (mm),Tarsometatarsus Length (mm),Tarsometatarsus Width (mm),Digit 1 (mm),Digit 2 (mm),Digit 3 (mm),Digit 4 (mm),Ungual 1 (mm),Ungual 2 (mm),Ungual 3 (mm),Ungual 4 (mm),Central rectrix (mm),Lateral Retrices,Isometric Size Index,Wing Pointedness Index,Wing Convexity Index,Country,State/Province,Region,Locality,Preparation,Latitute (o South),Longitude (o West),Elevation1,Prin1 2,Prin2 2,Prin3 2,Prin4 2,Prin5 2,Species,Museum,Specimen_Number,D15N,D13C,Prct_Nitrogen,Prct_Carbon,C_N_Ratio, ?18O,Species,Museum,Specimen_Number,Isotope_Samp_ID,dDa,[H]a,,dDb,[H]b,Mean_dD
AMNH,180288,albidiventris,,Small,male,3600 m,,181,38.53,15.72,4.05,1.71,0.78,4.46,3.56,0.78,56.7465881,19.12475944,1.91134497,102.61,62.68,79.29,79.87,80.03,77.99,70.6,64.27,64.35,60.72,6.4,10.49,2.07,29.52,1.48,20.63,15.23,18.83,16.78,8.91,5.12,6.63,5.35,67.21,60.32,-0.822758778,1.013467214,0.869685465,Ecuador,Pichincha,,Cerro Guamani,Skin: Whole,-0.333,-78.555,3600,-1.82743013,0.111942234,-0.664965762,-0.550072888,0.404925695,albd,AMNH,180288,6.393787200,-21.068166100,13.320542300,44.708596000,3.356364553,5.053313397,albd,AMNH,180288,,,,albd-a180288b,-79.5,4.79,-79.504
AMNH,180289,albidiventris,,Small,male,3900 m,,182,40.71,14.71,4.18,1.83,0.81,3.93,3.45,1.06,51.60819916,19.83444522,2.697371452,98.39,57.55,72.86,73.07,73.07,71.78,64.64,58.54,56.64,54.54,7.03,10.28,1.71,29.22,1.56,19.12,14.97,22.7,16.8,8.87,5.01,6.47,4.68,70.48,61.93,-0.97159521,0.900171711,1.128619626,Ecuador,Pichincha,,Cerro Guamani,Skin: Whole,-0.333,-78.555,3900,-2.046198734,-0.176712138,-0.324369445,0.170417959,0.013325248,albd,AMNH,180289,9.099950400,-22.027446800,13.480607600,44.409202200,3.294302714,3.725317088,albd,AMNH,180289,alb-A180289a,-94.1,5.31,albd-a180289b,-99.4,5.07,-96.702
AMNH,180290,albidiventris,,Small,male,3600 m,,173,38.83,14.54,4.34,1.84,0.94,4.24,3.13,1.04,57.81033137,18.09306041,3.071220978,93.86,55.87,68.09,68.76,68.23,67.49,61.43,56.2,54.04,52.57,6.94,10.51,1.77,29.21,1.61,19.19,14.61,23.63,15.63,8.5,4.44,5.87,4.64,65.38,58.58,-1.056532431,0.882325671,0.745279914,Ecuador,Pichincha,,Cerro Guamani,Skin: Whole,-0.333,-78.555,3600,-2.790949768,-0.410383732,-0.48142234,-0.2894069,0.56170993,albd,AMNH,180290,6.333739200,-21.944631200,13.225400800,43.953567300,3.323420437,0.96390621,albd,AMNH,180290,alb-A180290a,-91.6,5.17,albd-a180290b,-88.7,4.69,-90.128
AMNH,180292,albidiventris,,Small,male,3600-4000 m,,187,42.58,14.45,4.87,1.94,0.98,3.92,2.99,0.78,59.97426039,18.22312235,2.401433424,98.52,55.99,73.91,73.79,70.73,68.25,60.49,56.3,53.82,53.03,5.7,9.19,2.06,29.2,1.34,20.53,16.46,23.12,16.11,9.88,5.41,6.57,5.12,66.76,63.45,-1.019988961,0.644502487,1.368198335,Ecuador,Pichincha,,below Oyacachi,Skin: Whole,-0.212,-78.077,3800,-1.202974746,0.967433267,-0.16013498,-0.013766172,-0.227611776,albd,AMNH,180292,6.626973600,-23.386017000,13.516796300,45.352331600,3.355257458,2.727352624,albd,AMNH,180292,alb-A180292a,-93.9,5.02,albd-a180292b,-77.1,4.93,-85.510
AMNH,523202,albidiventris,,Small,male,4000 M.,,176,42.34,16.7,4.92,2.01,1.03,4.35,3.46,1.21,67.23636597,21.84852027,3.915366924,94.99,61.71,72.15,73.9,72.75,70.97,68.37,62.5,60.67,59.76,7.08,11.26,2.31,29,1.32,19.73,15.14,23.52,15.9,9.9,4.93,6.4,4.95,70.26,62.21,-0.921207068,1.001833219,0.089605086,Venezuela,Merida,,Las Conejos,,8.617,71.333,4000,-0.911658355,-0.412232743,-0.624733851,-1.311583163,0.466855747,het,AMNH,523202,7.577733600,-21.186474100,13.370426500,45.738612900,3.420879125,4.893784422,het,AMNH,523202,het-A523202a,-85.4,5.42,het-a523202b,-79.2,4.83,-82.311
AMNH,523203,albidiventris,,Small,male,4000 M.,,179,44.28,15.38,4.52,2.04,0.84,4.49,3.76,0.85,63.75799459,24.09727229,2.243097155,96.71,60.27,73.31,73.12,72.57,69.71,62.07,59.49,57,55.22,7.36,10.36,1.72,29.3,1.34,20.04,15.13,23.76,15.31,8.9,4.23,4.86,4.95,65.5,60.37,-0.970708939,0.689871587,0.559761893,Venezuela,Merida,,La Culata,,8.933,66.633,4000,-2.257824018,-0.217869452,-0.26616522,-0.585764013,0.331745873,het,AMNH,523203,8.674610400,-21.145066300,13.852990100,45.735404000,3.301482472,5.582145609,het,AMNH,523203,het-A523203a,-76.1,5.47,het-a-523203b,-62.0,4.86,-69.037
AMNH,523204,albidiventris,,Small,male,4000 M.,,176,44.01,16.96,5,2.15,0.71,4.15,3.59,1.16,65.18804756,24.2483829,2.587415709,94.95,61.31,70.81,71.47,71.7,68.34,64.86,60.1,57.48,56.48,7.07,9.84,1.55,29.13,1.37,21.41,15.9,22.7,16.23,9.33,5.06,6.22,5.53,62.19,52.82,-0.972470527,0.793297732,0.141046697,Venezuela,Merida,,La Culata,,8.933,67.633,4000,-1.405451385,0.480049394,-0.881407349,-1.654766682,0.9957521,het,AMNH,523204,7.592745600,-21.237740900,13.602139500,46.917600500,3.449280938,5.223759996,het,AMNH,523204,het-A523024a,-91.5,5.32,het-a523204b,-74.7,4.89,-83.114
AMNH,523205,albidiventris,,Small,female,4000 M.,,174,41.51,15.49,4.45,2.19,0.81,4.1,3.77,1.76,57.31835796,25.93793143,4.478654487,96.18,58.61,75.06,74.35,73.14,67.74,61.65,55.56,53.95,52.66,7.08,12.41,1.62,28.99,1.48,19.04,15.99,24.36,16.93,9.21,4.82,6.28,4.91,63.66,56.65,-0.999297966,0.45317521,1.320735701,Venezuela,Merida,,La Culata,,8.933,68.633,4000,-1.960204032,0.850195643,-0.099185531,0.123908687,0.140939855,het,AMNH,523205,7.680816000,-20.248883200,13.835973700,45.753275600,3.306834531,6.472500782,het,AMNH,523205,het-A523205a,-51.4,5.00,het-a523205b,-79.1,5.36,-65.245
AMNH,523206,albidiventris,,Small,female,4000 M.,,165,43.07,16.79,4.89,2,0.86,4.42,3.67,0.88,67.9017553,23.05929008,2.37755732,99.23,59.66,75.03,75.79,74.65,73.19,69.74,58.33,57.72,56.53,7.01,11.8,1.65,28.51,1.37,19.44,15.43,22.11,16.16,9.16,4.48,6.32,4.57,63.19,58.92,-0.925242825,0.845892729,1.273382677,Venezuela,Merida,,La Culata,,8.933,69.633,4000,-2.125104858,0.344899105,-0.461491075,-0.015993727,-0.01151948,het,AMNH,523206,7.958037600,-21.026758300,13.442869200,46.138738400,3.432209130,6.565238369,het,AMNH,523206,het-A523206a,-62.1,5.15,het-a523206b,-85.2,5.10,-73.641
AMNH,523207,albidiventris,,Small,not recorded,4000 M.,,172,41.62,15.51,4.73,2.02,1.32,4.46,3.43,1.07,66.2744103,21.76683886,4.437185464,93.19,55.08,67.19,67.71,68.29,68.03,64.23,55.37,54.35,53.28,6.61,10.22,2.49,27.73,1.47,20.47,14.88,23.84,15.9,9.86,5.39,7.09,6.15,63.07,52.47,-1.05679155,1.025555395,0.856559914,Venezuela,Merida,,La Culata,,8.933,70.633,4000,-0.885338847,0.846688441,-0.917488688,-0.976341207,0.751779502,het,AMNH,523207,8.871768000,-20.243953700,13.908047200,46.000326900,3.307461230,4.797092755,het,AMNH,523207,het-A523207a,-67.0,5.36,het-a523207b,-83.3,5.08,-75.128
